,Unnamed: 0.1,filename,radial_velocity_reference,e_radial_velocity_reference,redchi_reference,teff,logg,Unnamed: 0,cntr_01,dist_x,pang_x,name,ra,dec,solution_id,designation,source_id,random_index,ref_epoch,ra.1,ra_error,dec.1,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,GaiaDR3,PDA,GaiaEDR3,TeffH,e_TeffH,loggH,e_loggH,TeffHe,e_TeffHe,loggHe,e_loggHe,radial_velocity_observed,e_radial_velocity_observed,redchi_observed,teff_corv,logg_corv,stark_velocity,e_stark_velocity,teff_bin,logg_bin,N,e_N,Hdensity,e_Hdensity
0,4,WD1105m048_a_2002_04_23T04_32_22_all.dat.gz,58.98110799017133,1.2173509245349727,4.970182657100231,13622.209602382993,7.724228066263425,1237,876,7.170927,-172.931952,WD1105-048,166.99979167,-5.1572222222,1636148068921376768,Gaia DR3 3788194488314248832,3788194488314248832,1452859135,2016.0,166.99954557056,0.028,-5.15919900918,0.0226,40.2925,0.032,1260.0614,446.106,-55.547,0.031,-442.634,0.028,-0.1777,-0.4298,-0.2675,0.3353,-0.1148,0.2084,-0.1791,0.1492,-0.3396,-0.2715,192,0,192,0,2.0075,824.8138,0.182,24.5762,31,0,1.792,,,,,,,,22,15,0.049175,29,9,0,0.081,97.743,0,0,1.104,0.329,0.216,0.402,0.795,-111.578,26.909,-5.498,-25.072,0,241,109324.79115,85.19752,1283.19226,13.09057,28,82681.36403,101.55312,814.16864,13.045023,24,41071.70695,31.37161,1309.19995,13.214039,1.132,0.0,0.0,0.0,0.0,0,-0.169016,-0.045547,-0.123468,,,,,,,,,,,,,,,,,,,,,VARIABLE,261.29751038837,49.16705272896,170.07569377956,-9.88224887033,0,0,0,1,1,0,1,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3788194488314248832,1.0,3788194488314248832,15701.3,271.43,7.916565,0.022137,15563.6,290.23,7.962896,0.0312,73.73567831097765,1.3998963850500132,2.512749712240112,13448.05646687544,8.410763087037294,14.754570320806316,1.8551693082687217,5,3,8.974646556148933e+16,5704909441343902.0,9.032808812093984e+16,4677290776029873.0
1,6,HE2133m1332_a_2001_09_20T01_26_51_all.dat.gz,22.29406837116521,1.7344189358507671,3.3018691219326968,9698.0108388664,7.816495239340835,271,217,4.738901,118.725697,HE2133-1332,324.06829167,-13.309583333,1636148068921376768,Gaia DR3 6842831888437047680,6842831888437047680,1125434276,2016.0,324.06947789226,0.0194,-13.31021599574,0.0174,42.7246,0.0246,1733.2819,299.178,263.291,0.023,-142.076,0.019,0.5113,0.2891,-0.2281,-0.3407,0.2836,-0.3938,-0.7902,-0.5275,-0.2486,0.5226,317,0,317,0,-1.2418,409.5219,0.061,2.7197,31,0,1.718,,,,,,,,36,17,0.039715,41,27,0,0.029,1.92,0,0,0.95,0.422,0.595,0.318,0.128,-13.11,-18.383,-11.872,7.893,0,335,65064.38768,35.76076,1819.43542,13.654009,39,44645.46674,32.92062,1356.15515,13.714099,40,29608.83542,23.09449,1282.07336,13.569343,1.141,0.0,0.0,0.0,0.0,0,0.144756,0.06009,0.084666,,,,,,,,,,,,,,,,,,,,,VARIABLE,39.74343905892,-42.49844925457,322.00627029395,0.91225347329,0,0,0,1,1,0,1,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,6842831888437047680,0.99,6842831888437047680,9927.25,77.78,7.73568,0.011806,9836.34,84.73,7.688023,0.015421,28.528111954840508,1.5168909981673604,4.212496058638537,9771.978083255024,7.395803044375635,6.234043583675298,2.304163046609089,1,1,1.0165269893962406e+16,3862441040671003.0,9933362898357878.0,4115275990979591.0
2,12,WD2303p242_b_2002_09_26T04_39_50_all.dat.gz,2.0675005860628777,2.2157477251865627,2.98179293512243,10817.679343129454,7.95685293219475,2451,1321,1.437015,131.444168,WD2303+242,346.57370833,24.535472222,1636148068921376768,Gaia DR3 2842650153836732928,2842650153836732928,1327144064,2016.0,346.57403724808,0.0255,24.53520801453,0.0245,19.6918,0.0358,550.386,88.272,66.505,0.028,-58.044,0.029,0.2149,0.2399,0.207,-0.3208,-0.1868,-0.2824,0.2882,0.0903,-0.394,0.1183,394,0,391,3,1.1087,479.6509,0.079,1.2436,31,0,1.738,,,,,,,,45,19,0.043154,56,9,0,0.027,74.331,0,0,1.039,0.373,0.475,0.356,0.499,-56.539,-41.075,-46.74,35.237,0,471,13623.91144,23.18745,587.5553,15.351612,54,9616.63902,48.27924,199.18785,15.380984,52,5801.12732,23.1408,250.68831,15.339114,1.132,0.0,1.0,0.0,0.0,0,0.04187,0.029372,0.012498,,,,,,,,,,,,,,,,,,,,,VARIABLE,94.41630243593,-32.44997778424,358.1477088295,27.71063287887,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2842650153836732928,1.0,2842650153836732928,11436.34,182.14,8.000965,0.027329,11420.96,191.25,7.921314,0.032388,-1.7337758198934112,1.97460825055606,6.304583102624766,10911.96786008052,7.881880269949312,-3.8012764059562887,2.9679312196938614,2,5,,,,
3,15,HE0210m2012_b_2002_09_10T08_56_41_all.dat.gz,11.613275780156044,2.614970760740891,3.5264341598054503,13999.997659434935,7.943373371559037,55,37,1.146316,35.317638,HE0210-2012,33.257875,-19.976222222,1636148068921376768,Gaia DR3 5125057897336633344,5125057897336633344,1351816912,2016.0,33.25807086617,0.0307,-19.97596240307,0.0322,9.1997,0.047,195.8708,70.366,42.302,0.04,56.232,0.04,0.2179,0.1789,0.055,-0.0213,-0.0827,-0.0251,-0.231,0.1079,0.0954,0.1624,454,0,454,0,1.461,588.5022,0.184,3.0582,31,0,1.798,,,,,,,,52,20,0.059968,52,22,0,0.059,2.403,0,0,1.048,0.083,0.252,0.144,0.552,-166.822,-50.093,-18.927,26.664,0,448,6334.17778,4.53707,1396.09546,16.183142,45,4842.60947,17.27724,280.28839,16.125843,42,2322.79335,8.41746,275.94946,16.332869,1.131,0.0,5.0,0.0,1.0,0,-0.207026,-0.057299,-0.149727,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,196.33555401077,-70.01227358744,23.20972195499,-31.22877509841,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,5125057897336633344,1.0,5125057897336633344,17200.1,466.77,7.949413,0.039749,17528.9,631.0,8.062768,0.0587,38.82920463623447,2.9539470461896435,2.674209526698201,12506.022824416745,8.871140129207085,27.215928856078428,3.9451077591394528,7,4,1.5913990123353914e+17,9019935387090246.0,1.5824439871697117e+17,7902572245845732.0
4,17,HE2356m4513_b_2002_07_11T08_52_25_all.dat.gz,21.736342869346853,4.130386934170781,3.7988055999360126,13999.907215408177,7.928350487891487,329,267,0.847321,-106.663723,HE2356-4513,359.740875,-44.953722222,1636148068921376768,Gaia DR3 6530974072557448064,6530974072557448064,1671026895,2016.0,359.74055637631,0.0213,-44.953789714,0.0222,13.5411,0.0364,371.6626,50.781,-49.1,0.026,-12.956,0.034,-0.3164,0.1576,0.1793,0.1423,-0.1436,0.0643,-0.2303,-0.1322,-0.182,-0.0257,548,0,545,3,2.8421,875.8996,0.183,7.7011,31,0,1.802,,,,,,,,64,22,0.047654,69,13,0,0.035,6.88,0,0,1.087,0.417,0.277,0.089,0.403,55.357,49.764,40.73,20.299,0,574,13054.48845,7.6688,1702.28528,15.397967,63,10008.41002,16.60244,602.82758,15.337629,60,4821.28303,8.52217,565.73444,15.539989,1.136,0.0,1.0,0.0,0.0,0,-0.202359,-0.060338,-0.142021,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,329.9834660748,-69.3180423908,338.13469365003,-40.31277467269,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,6530974072557448064,1.0,6530974072557448064,16927.28,340.89,7.966159,0.027908,16980.61,442.45,8.05378,0.042795,64.21025978825946,4.040630498624186,4.144662206245828,12202.842274179642,8.197488503390614,42.47391691891261,5.778130411506878,6,4,1.805735019667288e+17,8946093906596566.0,1.809034903627664e+17,1.095734971563682e+16
5,18,HE1315m1105_b_2000_05_19T03_07_36_all.dat.gz,40.66281306474774,1.6248791249933916,3.332601813165964,7782.656962718814,8.792996253489806,235,184,2.255552,-86.917548,HE1315-1105,199.44683333,-11.351666667,1636148068921376768,Gaia DR3 3623233040812235904,3623233040812235904,1720243939,2016.0,199.44619521104,0.0386,-11.35163297526,0.0293,25.1831,0.0463,544.0914,144.44,-144.137,0.052,9.347,0.035,-0.3951,-0.3995,-0.0416,-0.1387,0.1318,-0.0762,0.1794,0.1871,0.1184,-0.3061,249,0,247,2,1.069,285.6574,0.12,1.7833,31,0,1.695,,,,,,,,28,14,0.074872,30,11,0,0.095,110.254,0,0,1.048,0.169,0.424,0.228,0.448,-132.278,26.018,3.389,-21.796,0,255,11174.243,7.33636,1523.13086,15.566822,28,7426.39172,18.15292,409.10178,15.661597,28,5401.50909,14.20416,380.27667,15.416608,1.148,0.0,0.0,0.0,0.0,0,0.244989,0.094775,0.150214,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,313.22466697667,50.99282355375,202.22571131599,-2.90899805897,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3623233040812235904,1.0,3623233040812235904,9052.13,91.9,8.040295,0.026571,8855.33,90.19,7.959465,0.026445,27.767615724983774,1.6431736517702316,5.392722186142629,9087.262754304376,7.696714167793732,-12.895197339763964,2.3108984877556193,1,6,,,,
6,20,WD0032m177_b_2002_09_25T06_02_02_all.dat.gz,11.949049159281127,3.5604316553327964,2.903693769960374,13836.51782576424,7.645739900075174,694,517,2.09529,98.87843,WD0032-177,8.8554166667,-17.511361111,1636148068921376768,Gaia DR3 2364311331022888704,2364311331022888704,575659700,2016.0,8.85601966256,0.0572,-17.51145093891,0.0412,8.7098,0.0643,135.5229,131.583,130.376,0.067,-17.782,0.06,0.1938,0.5334,0.1645,-0.0489,-0.0086,-0.0636,0.0202,0.1432,0.0191,0.2257,214,0,213,1,-0.1824,238.6472,0.092,0.4765,31,0,1.798,,,,,,,,25,14,0.09926,32,7,0,0.039,53.879,0,0,0.989,0.342,0.29,0.27,0.567,-47.375,-31.812,50.784,17.392,0,249,5434.64836,4.84331,1122.09448,16.349438,32,4122.73599,13.89476,296.71155,16.300579,30,1998.43123,10.43327,191.54413,16.496172,1.126,0.0,2.0,0.0,1.0,0,-0.195593,-0.048859,-0.146734,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,101.07622637751,-79.69711235126,0.91278010404,-19.54017469272,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2364311331022888704,1.0,2364311331022888704,16527.23,489.74,7.932944,0.04688,16539.84,614.55,8.008983,0.068877,47.36112473643236,3.728464569098549,3.991741308105976,12173.662115484329,8.472119825722672,35.41207557715123,5.155397328559562,6,3,1.6329214925071664e+17,7951512629281964.0,1.6595974055895312e+17,7739751866113874.0
7,23,WD1511p009_b_2001_02_10T08_26_47_all.dat.gz,-10.59197780284233,5.253837227266002,2.4004865707683143,17520.67629264998,8.726352657504012,1572,1069,0.434755,165.191442,WD1511+009,228.588625,0.798,1636148068921376768,Gaia DR3 4419865155422033280,4419865155422033280,1052447268,2016.0,228.58865586941,0.0477,0.7978832459,0.0455,6.4451,0.0552,116.8595,27.205,4.35,0.059,-26.855,0.053,-0.107,-0.2675,0.0652,0.0828,-0.1977,0.1282,-0.0838,-0.0877,0.0958,-0.1104,178,0,176,2,0.657,269.9105,0.234,4.4336,31,0,1.848,,,,,,,,20,14,0.083229,21,7,0,0.057,107.981,0,0,1.034,0.356,0.152,0.323,0.892,-117.694,35.187,-10.451,-30.62,0,173,8347.27911,6.58444,1267.72766,15.883505,19,6690.5132,18.72679,357.26959,15.774894,20,2850.02634,15.26593,186.69191,16.110773,1.143,0.0,0.0,0.0,0.0,0,-0.335879,-0.108611,-0.227268,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.43769848051,46.78251956354,225.89915698978,18.12385445045,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,4419865155422033280,1.0,4419865155422033280,25120.79,835.03,7.680244,0.023237,29704.4,1245.4,7.779378,0.054424,-13.27995938031802,5.730422077488421,3.897988180376399,26659.58221875307,7.945126744421643,-2.687981577475691,7.7743515997652715,8,1,,,,
8,29,HS1338p0807_a_2001_06_20T02_10_18_all.dat.gz,90.79669467835014,4.490195294569595,4.249506394200677,12828.629555220976,7.631134365048331,483,386,1.465866,168.422364,HS1338+0807,205.36516667,7.8749166667,1636148068921376768,Gaia DR3 3724583445679765632,3724583445679765632,925173035,2016.0,205.36524916815,0.0487,7.87451776633,0.0409,5.3521,0.0608,88.0286,91.715,20.841,0.066,-89.316,0.052,-0.2211,-0.1335,-0.159,0.0263,-0.1721,0.0392,-0.5312,-0.0078,0.3078,-0.1879,326,0,323,3,0.8206,422.2194,0.163,1.677,31,0,1.842,,,,,,,,37,17,0.093741,45,27,0,0.05,11.567,0,0,1.032,0.278,0.388,0.116,0.423,-153.252,21.547,-33.899,-25.442,0,384,4631.30336,3.41558,1355.93396,16.523109,38,3688.8972,12.4844,295.48056,16.421301,36,1560.26848,9.3364,167.11671,16.764896,1.133,0.0,1.0,0.0,0.0,0,-0.343596,-0.101809,-0.241787,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,336.84590570182,67.39116995633,200.51010165236,17.12723195892,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3724583445679765632,1.0,3724583445679765632,24280.26,879.3,7.816405,0.062399,28754.44,1225.4,7.92803,0.058196,96.41782618603776,3.606082340837254,7.915900187213569,9773.736743626136,8.759686758084266,5.621131507687622,5.758965500180846,8,1,,,,
9,33,WD1356m233_a_2000_06_08T01_43_36_all.dat.gz,-7.708253209027946,1.6982850926011437,3.4591933028837225,9213.022585572451,7.721564043375966,1483,1021,5.351832,-99.363639,WD1356-233,209.78258333,-23.557555556,1636148068921376768,Gaia DR3 6275184065428686464,6275184065428686464,1197880430,2016.0,209.78098315561,0.0318,-23.55779742064,0.029,29.7868,0.0349,852.9189,338.103,-333.531,0.039,-55.413,0.039,-0.2992,-0.3815,-0.036,-0.2255,0.1961,-0.2112,0.2095,0.0421,0.1262,-0.3941,157,0,157,0,0.5709,183.6689,0.094,1.6126,31,0,1.704,,,,,,,,18,13,0.063875,21,8,0,0.148,15.331,0,0,1.031,0.357,0.262,0.205,0.869,-155.39,43.893,2.718,-26.573,0,170,19077.63,17.39624,1096.65222,14.986055,19,12882.41564,29.92369,430.509,15.063549,19,9018.37947,20.13641,447.86423,14.860074,1.148,0.0,0.0,0.0,0.0,0,0.203475,0.077494,0.125981,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,322.38037674709,36.74453329422,215.93721979463,-10.69549888173,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,6275184065428686464,1.0,6275184065428686464,9439.97,90.77,7.990344,0.024454,9255.64,92.43,7.902211,0.024045,72.67924240493517,1.551204686090749,8.656264835946013,9456.63186337438,7.499721763296708,80.38749561396311,2.30008874478816,1,5,1.0853278612932506e+17,2178487947821342.2,1.088587930836667e+17,1449846575984847.5
10,38,WD0005m163_a_2002_08_04T10_00_27_all.dat.gz,-8.468320906912199,3.5920826494515694,2.566181303604377,11666.868134301374,7.637745248199252,658,493,3.078761,109.790409,WD0005-163,1.8950833333,-16.092111111,1636148068921376768,Gaia DR3 2416481783371550976,2416481783371550976,320562638,2016.0,1.89592085105,0.0404,-16.09240066718,0.031,12.3374,0.0451,273.7005,190.448,179.229,0.053,-64.402,0.036,0.1178,0.1375,0.1555,-0.1294,-0.0882,-0.1246,0.3628,0.0315,-0.1768,0.1999,321,0,321,0,0.7862,363.6148,0.074,0.4511,31,0,1.744,,,,,,,,37,18,0.074456,41,11,0,0.006,103.944,0,0,1.03,0.328,0.384,0.154,0.491,-29.68,-16.121,-30.528,16.476,0,352,6520.31706,5.00569,1302.58032,16.151695,37,4682.14009,14.62046,320.24579,16.162432,35,2731.01173,16.91642,161.44148,16.157087,1.137,0.0,14.0,0.0,12.0,0,0.005344,0.010736,-0.005392,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,78.04057462101,-74.9943595993,355.1729810125,-15.48337889138,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2416481783371550976,1.0,2416481783371550976,11570.97,209.85,7.87789,0.033369,11470.04,207.09,7.781592,0.023174,4.276838375165191,3.321281911631941,2.4529694343411625,11778.71383668874,7.649520108238549,12.74515928207739,4.89223581780606,2,2,3.164144108992142e+16,1.0805727528860572e+16,3.2453416913254524e+16,1.119262140538772e+16
11,45,WD1220m292_a_2000_05_20T01_17_18_all.dat.gz,24.97855704367483,2.3200321637874683,3.059984439596889,13559.887971105049,7.500014694889945,1323,943,1.012515,139.930349,WD1220-292,185.77120833,-29.541194444,1636148068921376768,Gaia DR3 3474544434121450496,3474544434121450496,1467395479,2016.0,185.77141643171,0.0434,-29.54140967701,0.0339,10.7039,0.0556,192.5985,63.665,40.502,0.058,-49.12,0.052,-0.411,-0.2244,-0.2322,0.2694,0.0347,0.2298,-0.5265,-0.0032,0.045,-0.2359,389,0,388,1,1.4261,717.2763,0.277,9.9022,95,0,,1.7397,0.0101,-0.046,-0.015,-0.113,0.02,0.109,44,18,0.088039,48,48,0,0.023,101.033,1,2,1.051,0.169,0.441,0.349,0.275,-35.547,22.323,8.876,-6.754,0,393,8949.24689,6.98792,1280.67371,15.8079,45,6898.71996,14.34563,480.89346,15.741621,45,3296.9771,8.84617,372.70117,15.952605,1.139,0.0,0.0,0.0,0.0,0,-0.210984,-0.066279,-0.144705,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,295.58387438021,32.92549179377,197.70890005763,-24.68103751314,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3474544434121450496,1.0,3474544434121450496,17413.05,397.82,7.928976,0.035078,17631.22,533.96,8.03684,0.050658,29.826790260120777,2.739660834250349,2.72428338392485,13038.351773810346,8.816461801479688,4.848233216445948,3.5900265636529323,7,3,,,,
12,46,WD2115m560_b_2003_05_13T09_32_34_all.dat.gz,-19.80068677212676,1.6696723151643695,2.9677551736607133,9269.470183672063,7.998150870428951,2321,1229,7.548147,113.569824,WD2115-560,319.90220833,-55.837361111,1636148068921376768,Gaia DR3 6462911897617050240,6462911897617050240,126023365,2016.0,319.90563072958,0.0154,-55.83819946625,0.0133,39.908,0.0196,2036.8855,471.395,431.064,0.018,-190.781,0.016,-0.1155,0.1118,0.0391,-0.066,-0.1524,-0.0353,-0.1039,-0.2082,0.0211,-0.0745,374,0,374,0,1.8332,522.1699,0.088,3.7385,31,1,1.708,,,,,,,,43,24,0.025237,46,15,0,0.037,14.193,0,0,1.067,0.128,0.176,0.087,0.269,-56.217,19.215,-5.075,18.377,0,373,36776.38902,16.26518,2261.05078,14.273444,41,25070.1374,21.47817,1167.23828,14.340651,40,17283.39636,15.46058,1117.901,14.153823,1.152,0.0,0.0,0.0,0.0,0,0.186828,0.067206,0.119621,,,,,,,,,,,,,,,,,,,,,VARIABLE,340.52318379913,-42.71784752388,303.020436278,-37.97501759434,0,0,0,1,1,0,1,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,6462911897617050240,0.99,6462911897617050240,9528.29,76.42,7.964806,0.019923,9349.82,78.56,7.874494,0.019495,-16.271317740791318,1.432411381384056,3.2178995851604824,9313.183190643053,7.503381911033609,3.5293690313354418,2.1999109085471904,1,4,,,,
13,53,WD0151p017_b_2000_07_15T08_13_37_all.dat.gz,28.45936518076783,2.2573798176908326,3.957300227228163,11646.841247011424,7.133145197245751,772,591,5.264232,91.325512,WD0151+017,28.557875,2.0233611111,1636148068921376768,Gaia DR3 2511623211717232640,2511623211717232640,414033751,2016.0,28.55933780745,0.0273,2.02332728411,0.0223,20.9828,0.0349,600.7738,331.609,331.457,0.039,-10.024,0.029,0.09,0.1622,-0.0711,0.0842,-0.3292,-0.0284,-0.3174,0.1535,0.4626,0.1775,197,0,197,0,-0.0478,236.5642,0.0,0.0,31,0,1.757,,,,,,,,23,14,0.055346,25,11,0,0.059,80.493,0,0,0.996,0.195,0.314,0.275,0.649,-83.612,-15.737,-48.496,25.0,0,209,19124.95118,14.65038,1305.42334,14.983366,24,13877.32027,20.04663,692.25201,14.982779,25,7805.69067,19.40699,402.21024,15.016867,1.134,0.0,1.0,0.0,1.0,0,-0.034088,-0.000587,-0.033501,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,152.84089092606,-57.15611800669,27.26581282676,-9.07070936343,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,2511623211717232640,1.0,2511623211717232640,12336.68,181.8,7.958544,0.018295,12234.02,156.1,7.893827,0.024899,34.702998827161174,2.379826718901416,5.896229962009197,11935.651194419006,7.641138772680808,6.243633646393345,3.2801431147611497,3,4,1.931185902520837e+16,6365110955760581.0,2.14257040305569e+16,5638569914354536.0
14,58,WD1330p036_a_2000_05_20T02_55_48_all.dat.gz,37.6829428853932,2.606082414293059,3.863613054885553,13877.952061917456,7.581569949020754,1415,1000,2.286435,-118.587946,WD1330+036,203.32341667,3.3504444444,1636148068921376768,Gaia DR3 3712812452150011648,3712812452150011648,1591500845,2016.0,203.32285802605,0.0403,3.35014053438,0.0306,10.5932,0.0497,213.0739,143.526,-126.064,0.054,-68.612,0.033,-0.4156,-0.2879,-0.2228,0.0876,0.2282,0.0088,-0.5294,-0.0404,0.0892,-0.2632,336,0,334,2,-1.3307,375.7085,0.084,0.8726,31,0,1.803,,,,,,,,38,18,0.077009,47,32,0,0.015,58.608,1,2,0.948,0.236,0.57,0.158,0.109,-176.668,20.95,52.919,-23.686,0,389,8942.73347,5.97592,1496.46069,15.808691,41,6828.27052,10.23626,667.06665,15.752766,37,3283.30405,13.7946,238.01376,15.957118,1.131,0.0,0.0,0.0,1.0,0,-0.204352,-0.055925,-0.148427,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,327.55165409995,64.20274555245,200.31493572405,12.1710626101,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3712812452150011648,1.0,3712812452150011648,16878.22,418.1,7.872739,0.037486,16859.35,532.21,7.953671,0.05604,63.8344687008203,2.975594878315256,2.8761605026139923,12485.156217900952,8.726666695178078,26.1515258154271,3.9554810617601905,6,2,1.4380817513904354e+17,1.1394733228445618e+16,1.4309994507930178e+17,8819925037281808.0
15,64,HE2251m6218_a_2001_09_01T01_02_46_all.dat.gz,20.74340939135636,3.1477493916758537,3.345404503746407,13997.57112133682,7.999994659563918,312,254,0.826081,93.314922,HE2251-6218,343.74754167,-62.035888889,1636148068921376768,Gaia DR3 6394778525002127104,6394778525002127104,489989388,2016.0,343.74803020511,0.0245,-62.03590215684,0.0265,10.7843,0.0345,312.98,53.623,53.507,0.032,-3.52,0.033,-0.3582,0.2566,-0.0858,0.1174,-0.206,0.1633,-0.2712,-0.186,0.0152,-0.3629,493,0,490,3,-0.9107,584.0187,0.112,1.6364,31,0,1.808,,,,,,,,56,31,0.053773,61,25,1,0.022,151.242,0,0,0.97,0.126,0.303,0.075,0.343,-69.474,48.903,-5.191,-36.442,0,500,8282.84436,4.36265,1898.58118,15.891918,54,6386.45419,14.04584,454.6864,15.825393,53,3052.00248,9.74831,313.08029,16.036434,1.14,0.0,1.0,0.0,1.0,0,-0.211041,-0.066525,-0.144516,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,323.77314670944,-50.11705418183,313.66056571731,-49.30200926354,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,6394778525002127104,1.0,6394778525002127104,17247.31,411.18,7.986952,0.033036,17331.33,551.77,8.080856,0.050779,38.8082074944874,3.463249936490996,4.676513743167971,12104.032499056277,8.769410724612872,18.06479810313104,4.68000281574708,7,4,1.3261726034602181e+17,1.264639182172662e+16,1.3285855694588008e+17,9281268743138566.0
