,Name,GaiaDR2,SPYTeff,SPYlogg,Rem,solution_id,DESIGNATION,SOURCE_ID,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
0,EC12489-2750,3495397496775173248,61045,7.63,,1636148068921376768,Gaia DR3 3495397496775173248,3495397496775173248,268810829,2016.0,192.92096777043494,0.05232749,-28.113186408704735,0.046339467,2.224136453513737,0.06409781,34.699104,13.1609745,-8.282577804263841,0.07556209,-10.22791117105318,0.04737252,-0.13497835,-0.22234738,0.023544952,0.2148009,-0.23392034,0.22238398,-0.3826009,-0.014715311,0.0395218,-0.04212315,250,0,250,0,0.127344,424.5275,0.29404545,6.279529,31,False,1.9032707,,,,,,,,29,16,0.105183706,31,13,0,0.09437954,124.145195,0,0,1.0043955,0.24289192,0.2539272,0.3740306,0.6822002,-71.47465,14.877293,-0.49169013,-15.969395,False,263,6697.809518957954,6.7573357,991.19086,16.122536,29,5650.756086002747,21.825798,258.90262,15.958276,29,2049.799668535632,13.789919,148.64479,16.468616,1.1497126,0,1,0,1,0,-0.5103407,-0.16425991,-0.34608078,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,302.9979324808223,34.75853206692687,203.19593694727308,-20.724783810536344,False,False,0,True,False,False,True,False,False,False,False,5.094308e-10,1.4235158e-07,4.993323e-05,,,,,,,,,,,,,,,,,,,,,,
2,HE0031-5525,4921390960477978112,11839,7.71,,1636148068921376768,Gaia DR3 4921390960477978112,4921390960477978112,1371908808,2016.0,8.400552147703667,0.023910828,-55.14433356941992,0.025650758,14.723444462456461,0.03385697,434.8719,43.83812,15.979257180003028,0.030237978,-40.82210195789645,0.035640765,-0.22679389,0.10940843,-0.094295,-0.052846584,-0.05696986,-0.02781974,0.13162012,-0.03166481,-0.23102802,-0.22064213,409,0,408,1,0.05090484,450.27673,0.0839186,0.92088324,31,False,1.747267,,,,,,,,47,28,0.0518884,53,18,0,0.02153933,29.244118,2,0,1.0009661,0.17711537,0.22522497,0.24155127,0.17639275,-43.071587,54.88454,50.084637,19.661457,False,446,9231.129842904254,6.2622437,1474.093,15.77423,52,6618.523133510937,14.461467,457.6661,15.786639,48,3833.1626743328015,11.507353,333.1055,15.789002,1.1322217,0,1,0,0,0,-0.002363205,0.01240921,-0.014772415,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,308.32657263116704,-61.796706559014204,336.1620365414203,-51.821834850438655,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
4,HE0032-2744,2343355051714253056,23947,7.81,,1636148068921376768,Gaia DR3 2343355051714253056,2343355051714253056,1153914573,2016.0,8.65781738844297,0.04544873,-27.47241959746541,0.033472486,6.087670112904808,0.06695064,90.92773,45.192387,26.51592984436574,0.057750057,-36.59586549798968,0.06935653,-0.068813935,0.15973495,0.17309207,-0.1623748,0.008693904,-0.031029325,0.24739276,-0.049843498,-0.2719056,0.34884405,352,0,349,3,0.55697787,459.86633,0.2029113,2.786295,31,False,1.842364,,,,,,,,41,15,0.10489433,51,9,0,0.026475364,158.50108,0,0,1.0203339,0.47375792,0.31856632,0.3025887,0.69410294,-7.0992174,2.4577885,13.434926,13.449049,False,401,5214.757240492305,3.724047,1400.2931,16.394281,47,4194.792396893221,12.63355,332.03592,16.281767,46,1785.7384218266277,10.045348,177.7677,16.618351,1.1468474,0,3,0,2,0,-0.3365841,-0.112514496,-0.2240696,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,26.703717373981654,-86.25069757180621,356.0239531417443,-28.44928202010961,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5446818e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
6,HE0043-0318,2529237113117694336,14086,7.73,,1636148068921376768,Gaia DR3 2529237113117694336,2529237113117694336,762735963,2016.0,11.576667071587151,0.030537706,-3.0339477152734258,0.018454777,15.801210097167635,0.036293875,435.3685,72.69317,11.807207450853657,0.0466093,-71.72786406537013,0.04418651,0.42823976,0.036266174,0.19970703,-0.20046392,0.1053287,-0.05178852,0.07030597,-0.023024283,-0.07895416,0.49658686,529,0,529,0,-0.1667152,603.7906,0.06842293,0.92725056,31,False,1.7587273,,,,,,,,61,18,0.07684842,66,7,0,0.07692797,42.999916,0,0,0.9942196,0.16175753,0.6299547,0.31977803,0.09326453,120.83156,-25.514357,12.885447,42.532223,False,563,11596.787809109304,6.8718605,1687.5762,15.526523,57,8490.960607249775,15.182102,559.27435,15.51615,58,4685.424923332998,9.015754,519.6931,15.571023,1.13621,0,2,0,3,0,-0.054872513,-0.010372162,-0.04450035,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,119.79653929375718,-65.87445483729238,9.44869367200808,-7.369856618663401,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
8,HE0049-0940,2473843786029439104,13823,7.69,,1636148068921376768,Gaia DR3 2473843786029439104,2473843786029439104,1663189427,2016.0,13.064476524627027,0.03271841,-9.405136697483378,0.021316065,15.5670455007308,0.04094245,380.2177,107.80276,106.1141998269113,0.04551538,19.00553946401942,0.043780707,0.40668425,0.1938555,0.077881046,-0.077267,0.054095417,0.011421081,0.19703284,0.06777596,-0.16276912,0.37453854,371,0,363,8,0.37996483,440.7385,0.12417317,2.7734134,31,False,1.7645128,,,,,,,,42,18,0.07246013,46,7,0,0.06624096,175.91176,0,0,1.0132982,0.09243293,0.56203985,0.026545089,0.09096221,-13.021328,-22.429647,15.610964,18.512043,False,399,13043.791365909781,9.428291,1383.4735,15.398857,40,9605.449030119125,20.092276,478.06674,15.382248,37,5173.943768764475,10.828841,477.79294,15.463342,1.1330596,0,2,0,1,0,-0.08109379,-0.016609192,-0.064484596,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,123.59624903706128,-72.27582899244217,8.26534373352259,-13.806147740160243,False,False,0,True,False,False,True,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
10,HE0103-3253,5027351170924256512,13698,7.82,,1636148068921376768,Gaia DR3 5027351170924256512,5027351170924256512,168440353,2016.0,16.378498488494692,0.040360756,-32.63153246139212,0.022483248,11.70629009612793,0.053235855,219.89485,95.246864,71.47019348129965,0.04618211,62.96012011183151,0.033648923,-0.17062235,0.37414175,0.27850834,-0.480931,0.036291596,-0.35764605,0.12900439,0.18277533,-0.3028701,-0.2709551,477,0,471,6,-1.4063646,474.4594,0.0,0.0,31,False,1.7678379,,,,,,,,55,19,0.07021983,64,16,0,0.019478956,58.363605,0,0,0.9535844,0.13138919,0.43195882,0.27286008,0.36000824,-104.73858,5.529955,46.057404,9.872436,False,521,6233.498965370737,3.5365882,1762.5742,16.200537,61,4583.169492981079,11.009134,416.30606,16.185627,60,2471.6719497832346,7.486628,330.1449,16.265419,1.1317626,0,2,0,2,0,-0.07979202,-0.014909744,-0.06488228,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,274.7869649301352,-83.70864003479623,0.23980738346677832,-36.10018555812573,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
12,HE0106-3253,5026963661794939520,17234,8.0,,1636148068921376768,Gaia DR3 5026963661794939520,5026963661794939520,877947823,2016.0,17.15028433340309,0.029130062,-32.62881218301225,0.018165294,14.51324428362055,0.039881974,363.90485,34.275623,26.561075757184668,0.030261133,-21.663972496789366,0.025518246,0.041555054,0.35462394,0.19965069,-0.29779613,0.21874388,-0.14382333,-0.045562595,0.18449117,-0.23596337,-0.054377988,449,0,447,2,0.36202696,602.7943,0.14103852,4.0216265,31,False,1.7962501,,,,,,,,51,21,0.04436582,56,15,0,0.019049784,40.70456,0,0,1.0114439,0.15397157,0.37415695,0.16771689,0.3134508,-55.24895,0.069900945,42.398205,7.847448,False,472,12788.465731579667,6.43954,1985.9285,15.4203205,48,9710.95774861156,19.42735,499.86017,15.370387,51,4790.679152931128,9.553313,501.4678,15.546903,1.1339622,1,0,0,1,0,-0.17651558,-0.049933434,-0.12658215,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,269.9058983566423,-83.36106784187574,0.9518429821439698,-36.4047678856802,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
14,HE0130-2721,5035978214033613824,21880,7.9,,1636148068921376768,Gaia DR3 5035978214034036480,5035978214034036480,328478599,2016.0,23.288035924928668,0.05342407,-27.095930980988943,0.03900612,7.092912349327895,0.06604392,107.396904,66.69566,30.323220376580558,0.08399053,-59.40381952076565,0.038773075,0.04413436,-0.024343196,-0.086483434,0.039662845,0.031918906,-0.10646942,0.5443059,0.11983607,-0.10095343,-0.16613397,480,0,477,3,3.6498756,769.76874,0.33885467,8.024488,95,False,,1.7087127,0.010440904,-0.10249748,0.10174593,-0.04138716,-0.0059794746,-0.09839257,55,18,0.11690974,75,75,0,0.08522661,84.59308,0,0,1.1205109,0.4116417,0.53529435,0.34050915,0.37132055,-174.41028,-0.80293,-55.417057,7.275193,False,636,5093.185001509082,4.1169276,1237.1326,16.419893,69,4071.3596784188576,8.129234,500.8294,16.314194,70,1794.4190572109767,7.0647445,253.9963,16.613087,1.1516917,0,0,0,1,0,-0.29889297,-0.10569954,-0.19319344,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,215.11451408448022,-80.71998062088761,9.833648756673298,-33.910601104089864,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
16,HE0145-0610,2467788122659245696,8616,7.77,,1636148068921376768,Gaia DR3 2467788122659245696,2467788122659245696,1334070759,2016.0,27.093320625862468,0.04298687,-5.926854937394241,0.033450272,17.1442819857978,0.05224776,328.1343,114.47868,114.23470499048055,0.05419936,-7.470017723574635,0.039348196,0.3662695,0.21443164,-0.06744463,0.12577096,-0.0146083785,0.13991217,-0.2977089,-0.055850156,0.21403718,0.2726551,403,0,402,1,0.98694,442.33936,0.04036192,0.120603815,31,False,1.6902138,,,,,,,,46,19,0.07758629,49,31,0,0.018594842,110.28989,0,0,1.0343796,0.17014287,0.5099936,0.123855606,0.2363592,-37.40862,-25.902443,-27.429153,33.58689,False,425,4962.113548510957,2.8180368,1760.8406,16.4482,45,3267.2715052724957,11.775947,277.45297,16.55308,45,2476.443327701691,10.533719,235.09677,16.263325,1.1575137,0,4,0,3,0,0.28975487,0.10487938,0.18487549,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,158.05192155814873,-64.84196673180287,22.92739009394253,-15.958065916661845,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
19,HE0150+0045,2510891108771852416,12993,7.68,,1636148068921376768,Gaia DR3 2510891108771852416,2510891108771852416,1113496909,2016.0,28.246427840944335,0.05905523,1.0042886871356325,0.043667693,11.546968178765313,0.066842325,172.74934,173.10388,-49.014634902229176,0.08821849,-166.0196293204754,0.049334753,0.03521918,0.27058542,-0.10144651,0.17158419,-0.22982731,0.17038687,-0.15851319,0.044691097,0.16708027,0.03491117,197,0,197,0,0.21228302,209.64134,0.0,0.0,31,False,1.7415646,,,,,,,,23,14,0.12238488,27,13,0,0.05293448,95.07435,0,0,1.0091107,0.24120307,0.36210787,0.34012508,0.5544914,-81.515724,-8.30955,-47.049194,23.504982,False,227,4830.945556382238,5.8057017,832.10364,16.477287,22,3396.6187037127615,16.96337,200.23254,16.510925,22,2024.816417669519,19.124811,105.8738,16.481932,1.1222306,0,1,0,1,0,0.028993607,0.033638,-0.004644394,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,153.1676290387674,-58.20767658328363,26.602768339472306,-9.912503095329386,False,False,0,True,False,False,True,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
20,HE0152-5009,4940662032058418944,13373,7.63,,1636148068921376768,Gaia DR3 4940662032058418944,4940662032058418944,1751289483,2016.0,28.649674930530555,0.025360128,-49.916510627538734,0.0332211,11.438665057284867,0.035145503,325.46597,36.137596,8.793918100559644,0.032324187,35.05129087597797,0.04641837,-0.08838279,0.13921724,0.0049695694,-0.07722529,-0.17816646,-0.05533802,0.4899857,0.028046051,-0.29665095,-0.09842799,440,0,437,3,1.6891692,534.65674,0.10469251,1.1033337,31,False,1.7573643,,,,,,,,52,29,0.06741422,66,17,0,0.020350212,45.334396,0,0,1.0572275,0.17545298,0.15767433,0.07753111,0.20941664,-96.80144,80.526436,21.807608,-20.354628,False,502,6847.562306978975,4.2966595,1593.6945,16.098526,61,4972.545165513155,10.576133,470.1667,16.097095,57,2764.9640100224065,7.601968,363.7169,16.143671,1.1299655,0,2,0,3,0,-0.046575546,-0.0014305115,-0.045145035,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,279.1923820706892,-64.1998504625876,357.86198022165013,-55.56561054916484,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5446303e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
22,HE0201-0513,2491046298280035584,24626,7.64,,1636148068921376768,Gaia DR3 2491046298280035584,2491046298280035584,1700226185,2016.0,30.907225648833098,0.05693835,-4.9877192100568335,0.042562243,5.575794651332319,0.06300453,88.498314,240.92848,159.71957370266122,0.07779323,-180.3779098576228,0.04992148,0.17955345,-0.0608401,-0.11647085,0.13405198,-0.061629083,0.1633434,-0.031813946,0.1019651,0.22697295,0.07710012,214,9,212,2,0.7770517,298.4927,0.22381315,2.8934784,31,False,1.8439659,,,,,,,,24,13,0.108341366,27,13,0,0.08675318,78.8513,0,0,1.0368018,,,,,,,,,False,234,6194.215756034708,4.803929,1289.4062,16.207401,26,4990.865297277796,27.753075,179.83107,16.093103,27,2091.0011401024226,10.90862,191.68338,16.44701,1.1433032,0,3,0,1,0,-0.35390663,-0.11429787,-0.23960876,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,163.9731750700803,-61.96242006674197,26.966936219593848,-16.45799174789988,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
23,HE0204-3821,4964509614631078272,14038,7.79,,1636148068921376768,Gaia DR3 4964509614631078272,4964509614631078272,68950474,2016.0,31.6992958763392,0.024045827,-38.11779585767244,0.0313248,10.561145592890256,0.042941988,245.93983,60.247646,59.353272233826836,0.026809763,-10.342525687897297,0.03612588,-0.30405957,0.008377213,0.10073291,-0.19406863,0.032778174,-0.18103117,0.2556916,0.1140151,-0.24293339,-0.2646943,629,0,622,7,2.4700906,786.23535,0.15672284,2.545725,31,False,1.7653118,,,,,,,,71,31,0.053811137,85,26,0,0.03281315,86.892,0,0,1.0705812,0.04465065,0.3165907,0.033010963,0.4541055,-27.617647,66.93457,-26.1917,-30.620743,False,713,5951.379452796982,3.1446812,1892.5223,16.250822,33,4405.062033110603,13.628108,323.23358,16.228662,32,2512.5899534939413,18.777584,133.80795,16.247591,1.1623611,0,2,0,1,0,-0.018928528,-0.022159576,0.0032310486,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,252.48831267328336,-70.76046867992804,11.29966409683723,-46.95232136534821,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
27,HE0204-4213,4957085334163504512,22575,7.9,,1636148068921376768,Gaia DR3 4957085334163504512,4957085334163504512,1167511161,2016.0,31.707245018354737,0.030219901,-41.99076946271149,0.03612296,6.716652822309782,0.046588928,144.16844,82.46134,-61.345878750456905,0.03475807,-55.10495436630982,0.042587876,-0.22942725,-0.0076803314,-0.036744393,-0.028223068,0.08674898,-0.012434555,0.14138514,0.11147693,-0.27240682,-0.20932129,508,0,500,8,0.44576284,629.6546,0.19243677,2.7391436,31,False,1.8311834,,,,,,,,58,30,0.06207063,68,21,0,0.015407639,90.66584,0,0,1.0135242,0.09699286,0.26729617,0.12392326,0.38135892,-111.20361,59.777695,-9.282025,-28.599592,False,574,4980.163276451165,2.8619573,1740.1249,16.444258,64,3985.0909267081433,13.376031,297.92776,16.337446,60,1710.4322425729329,8.672201,197.23161,16.66513,1.1436418,0,6,0,0,0,-0.3276844,-0.10681152,-0.22087288,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,261.7728819331045,-68.60307238227657,8.303664500194527,-50.28142733659803,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
29,HE0210-2012,5125057897336633344,17612,7.8,,1636148068921376768,Gaia DR3 5125057897336633344,5125057897336633344,1351816912,2016.0,33.258070866174066,0.030675894,-19.97596240307045,0.03215291,9.1996938952237,0.046968173,195.8708,70.36648,42.30193412123459,0.03962697,56.23155028920745,0.040033154,0.21786292,0.17885897,0.05498048,-0.021289442,-0.082696296,-0.025055544,-0.23098649,0.10793943,0.09542978,0.16238481,454,0,454,0,1.4610032,588.5022,0.1842407,3.0582204,31,False,1.7981454,,,,,,,,52,20,0.059968393,52,22,0,0.058839094,2.4028752,0,0,1.0483941,0.08251089,0.25225985,0.14395939,0.5520156,-166.822,-50.09256,-18.926884,26.663897,False,448,6334.177779037123,4.5370665,1396.0955,16.183142,45,4842.609471408595,17.277239,280.2884,16.125843,42,2322.793348593662,8.4174595,275.94946,16.332869,1.1312286,0,5,0,1,0,-0.20702553,-0.05729866,-0.14972687,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,196.3355540107746,-70.01227358743732,23.209721954993945,-31.228775098409937,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
31,HE0211-2824,5116584064300345984,14469,7.95,,1636148068921376768,Gaia DR3 5116584064300345984,5116584064300345984,107998747,2016.0,33.486268665375206,0.019323912,-28.173035935788842,0.021577215,16.735445220344612,0.033192746,504.18982,130.02432,27.808146687750764,0.03242251,-127.01586576009245,0.0293733,0.1847665,-0.0031382686,-0.1394469,-0.07901953,-0.017233942,-0.081746906,-0.18252498,0.2648048,0.08407871,-0.052829813,440,0,438,2,0.5261108,569.1273,0.12771848,3.5053658,31,False,1.7792277,,,,,,,,51,22,0.04563605,59,21,0,0.04469814,162.87526,0,0,1.0171568,0.36606723,0.15574251,0.11388026,0.34436557,-75.382286,-64.08213,-40.93928,34.99828,False,468,14151.812774580325,10.13918,1395.7551,15.310337,50,10579.265567629038,18.236124,580.1269,15.277404,48,5460.644284762547,12.5074215,436.59232,15.404786,1.1334174,0,4,0,3,0,-0.12738228,-0.032933235,-0.09444904,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,220.9966284040769,-71.72096033822251,19.366982377678752,-38.80290851070429,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5445799e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
33,HE0219-4049,4951125156507440384,15373,7.89,,1636148068921376768,Gaia DR3 4951125156507440384,4951125156507440384,715181771,2016.0,35.332408068769894,0.027594417,-40.59147892734423,0.03231676,9.9451533492271,0.04195412,237.04832,42.215794,41.92990030614314,0.033100907,4.904748343763982,0.040595967,-0.19851516,0.07912137,-0.03362195,-0.012069653,0.044917602,0.01903825,0.03425886,0.1780629,-0.30365345,-0.25521898,517,0,512,5,3.1377122,702.4669,0.19890252,3.5930336,31,False,1.7840247,,,,,,,,59,31,0.059812967,68,21,0,0.028760476,8.491129,1,0,1.0994581,0.118862204,0.27217776,0.12043178,0.26208404,-87.1195,63.371635,-2.3024943,-30.574253,False,581,5776.329924379918,3.8863394,1486.3164,16.283237,65,4342.131104251713,12.476384,348.028,16.244286,56,2181.473178879271,8.000356,272.67203,16.40102,1.1293684,0,6,0,4,0,-0.15673447,-0.038951874,-0.11778259,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,254.6867281009356,-67.10174931596995,13.09461322656418,-50.50289938984256,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5446005e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
37,HE0221-0535,2488754366292015744,24747,7.95,,1636148068921376768,Gaia DR3 2488754366292015744,2488754366292015744,162110795,2016.0,35.999530782070025,0.048640326,-5.362614182505611,0.041154258,8.930312400518309,0.05689501,156.96126,18.810701,-17.98862434096842,0.05684167,5.500171033110892,0.05221242,0.049283322,0.4619021,-0.10919243,0.269481,-0.2654252,0.19603033,-0.06631767,-0.0072113075,0.23330261,0.25318763,179,0,179,0,-0.32247508,260.25757,0.19874996,3.8980763,31,False,1.8450109,,,,,,,,21,14,0.0852595,24,11,0,0.020908423,79.91303,0,0,0.9808594,0.38050514,0.25383008,0.36876905,0.71921605,-68.80048,-35.859272,-52.70812,29.951515,False,203,10120.618348063279,8.835539,1145.4443,15.674349,24,8130.8982849444465,24.111378,337.22247,15.563196,21,3508.7190980266028,30.634254,114.535805,15.885024,1.1500895,0,1,0,6,0,-0.3218279,-0.11115265,-0.21067524,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,172.4218781803457,-59.02807797479486,31.816508517097343,-18.573942755024834,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5551057e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
39,HE0221-2642,5118624311204821504,32008,7.72,,1636148068921376768,Gaia DR3 5118624311204821504,5118624311204821504,1785292177,2016.0,35.87270099461474,0.03662791,-26.48910497061053,0.03977578,5.587861286751456,0.053702075,104.052986,37.1012,4.85992712302996,0.051086742,-36.781517661329616,0.050207585,0.06637701,0.07078411,-0.106294475,-0.032153144,-0.2299527,-0.06632189,-0.36629975,0.16804397,0.15564637,0.042065393,353,0,347,6,3.164045,717.4177,0.32254174,11.082014,31,False,1.8712738,,,,,,,,40,21,0.07367954,41,20,0,0.037536956,2.4808743,2,0,1.1223748,0.16512194,0.070957966,0.19713047,0.23954771,-94.2759,-57.215878,-18.822985,34.66846,False,346,8718.310452924987,6.85606,1271.6211,15.836286,39,7225.706456034879,22.78027,317.19144,15.691341,37,2776.8072947452906,11.911342,233.12297,16.13903,1.1472995,0,1,0,2,0,-0.44768906,-0.14494419,-0.30274487,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,216.41952663621424,-69.47896824652588,22.726341592487532,-38.158874514743374,False,False,0,True,False,False,False,False,False,False,False,5.0943055e-10,2.5448383e-09,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
41,HE0222-2336,5120365044270095232,31816,7.87,,1636148068921376768,Gaia DR3 5120365044270095232,5120365044270095232,1005479280,2016.0,36.08297595277413,0.046094775,-23.387821895467884,0.053051144,4.143888123836941,0.07443848,55.668625,20.831264,0.9296144342001802,0.058945008,-20.81051152456819,0.06524646,0.06726438,0.09872465,-0.007028632,0.078160815,-0.24484913,0.042798657,-0.32220486,0.063912444,0.23175566,0.107159816,362,0,355,7,1.8834356,519.45593,0.34583685,5.605929,31,False,1.8693897,,,,,,,,41,21,0.09512205,41,19,0,0.054857343,170.86768,0,0,1.0710506,0.122776106,0.11802052,0.2293535,0.3504644,-97.47164,-65.03855,-25.759281,27.882267,False,353,4024.468941973991,3.5921783,1120.3422,16.675596,34,3282.4536309985688,15.336817,214.02444,16.548046,33,1279.6970914763326,9.810782,130.43782,16.980127,1.1336032,0,2,0,0,0,-0.43208122,-0.12755013,-0.3045311,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,207.98513230100494,-68.69858148223685,24.501293777036754,-35.39586350914089,False,False,0,True,False,False,False,False,False,False,False,5.094307e-10,3.3560767e-08,4.9933235e-05,,,,,,,,,,,,,,,,,,,,,,
